CodigoRadioCensal,Total_Poblacion
820843903,676
820843904,710
820843905,576
820843906,437
820843907,392
820843908,392
820843909,485
820843910,544
820843911,571
820843912,429
820843913,429
820843914,586
820843915,566
820843916,481
820843917,617
820843918,870
820843919,592
820843920,550
820843921,316
820843922,600
820843923,600
820843924,464
820843925,328
820843926,495
820843927,413
820843928,291
820844001,326
820844002,307
820844003,868
820844004,610
820844005,1372
820844006,299
820844007,504
820844008,427
820844009,313
820844010,417
820844011,618
820844012,448
820844013,626
820844014,495
820844015,542
820844016,388
820844017,506
820844018,311
820844019,683
820844020,547
820844021,515
820844022,525
820844101,702
820844102,811
820844103,954
820844104,892
820844105,407
820844106,442
820844107,574
820844108,888
820844109,721
820844110,918
820844111,696
820844112,1146
820844113,436
820844114,524
820844115,777
820844201,506
820844202,870
820844203,580
820844204,874
820844205,516
820844206,609
820844207,986
820844208,1226
820844209,768
820844210,498
820844211,1243
820844212,1044
820844213,1411
820844214,782
820844215,921
820844216,904
820844301,673
820844302,600
820844303,742
820844304,828
820844305,614
820844306,469
820844307,773
820844308,408
820844309,759
820844310,717
820844311,765
820844312,1077
820844313,972
820844314,565
820844315,513
820844401,716
820844402,468
820844403,561
820844404,1253
820844405,718
820844406,765
820844407,919
820844408,864
820844409,987
820844410,690
820844411,642
820844412,729
820844413,676
820844414,744
820844415,1075
820844416,897
820844417,813
820844418,816
820844419,383
820844420,874
820844501,960
820844502,479
820844503,556
820844504,823
820844505,597
820844506,483
820844507,961
820844508,623
820844509,486
820844510,803
820844511,487
820844512,926
820844513,182
820844514,492
820844515,826
820844516,836
820844517,802
820844518,543
820844519,488
820844520,841
820844521,681
820844522,734
820844523,467
820844524,847
820844525,510
820844526,453
820844527,445
820844528,502
820844529,836
820844530,576
820844531,452
820844532,452
820844601,936
820844602,787
820844603,770
820844604,874
820844605,426
820844606,1101
820844607,575
820844608,897
820844609,820
820844610,1033
820844611,824
820844612,1346
820844613,1167
820844614,887
820844615,989
820844616,738
820844617,718
820844618,647
820844619,871
820844620,699
820844621,641
820844701,825
820844702,1001
820844703,655
820844704,844
820844705,864
820844706,509
820844707,685
820844708,1003
820844709,577
820844710,802
820844711,635
820844712,1045
820844713,919
820844714,1399
820844715,799
820844716,1326
820844717,623
820844718,1100
820844719,1302
820844720,711
820844721,1186
820844722,735
820844723,527
820844724,696
820844725,758
820844726,1043
820844727,798
820844728,752
820844729,1051
820844730,949
820844801,851
820844802,1067
820844803,865
820844804,909
820844805,651
820844806,478
820844807,1465
820844808,936
820844809,640
820844810,1004
820844811,731
820844812,1013
820844813,602
820844814,1180
820844815,1011
820844816,1354
820844817,843
820844818,823
820844819,973
820844820,1139
820844821,768
820844822,786
820844823,472
820844824,1087
820844825,963
820844826,1128
820844827,558
820844828,144
820844829,1036
820844830,808
820844831,941
820844832,1017
820844833,689
820844834,737
820844835,858
820844901,435
820844902,940
820844903,916
820844904,984
820844905,1163
820844906,1137
820844907,611
820844908,539
820844909,1112
820844910,1405
820844911,1109
820844912,1316
820844913,745
820844914,875
820844915,731
820844916,799
820844917,554
820844918,198
820844919,645
820844920,856
820844921,1342
820844922,1065
820844923,675
820844924,883
820844925,763
820844926,1331
820844927,1074
820845001,499
820845002,533
820845003,877
820845004,1093
820845005,669
820845006,547
820845007,832
820845008,697
820845009,565
820845010,621
820845011,1102
820845012,805
820845013,505
820845014,530
820845015,608
820845016,471
820845017,687
820845018,552
820845019,514
820845020,559
820845021,506
820845101,565
820845102,831
820845103,907
820845104,785
820845105,727
820845106,471
820845107,981
820845108,614
820845109,682
820845110,769
820845111,897
820845112,754
820845113,612
820845114,1032
820845115,497
820845116,752
820845117,903
820845201,836
820845202,1152
820845203,586
820845204,967
820845205,690
820845206,755
820845207,928
820845208,703
820845209,1396
820845210,834
820845211,1157
820845212,1035
820845213,1194
820845214,603
820845215,693
820845216,470
820845217,886
820845218,841
820845219,779
820845220,741
820845221,939
820845222,1297
820845223,422
820845301,788
820845302,571
820845303,382
820845304,1226
820845305,861
820845306,1088
820845307,1055
820845308,850
820845309,1170
820845310,493
820845311,474
820845312,796
820845313,588
820845314,686
820845315,834
820845316,639
820845317,630
820845318,1808
820845319,860
820845320,634
820845321,570
820845322,178
820845323,837
820845324,370
820845325,642
820845326,615
820845327,619
820845328,769
820845401,351
820845402,703
820845403,584
820845404,923
820845405,772
820845406,36
820845407,1314
820845408,986
820845409,568
820845410,529
820845411,1065
820845412,941
820845413,513
820845414,952
820845415,887
820845416,827
820845417,740
820845418,871
820845419,437
820845420,762
820845421,522
820845501,426
820845502,956
820845503,812
820845504,933
820845505,870
820845506,731
820845507,1194
820845508,1464
820845509,844
820845510,1138
820845511,861
820845512,952
820845513,746
820845514,624
820845515,997
820845516,1301
820845517,942
820845518,1103
820845519,840
820845520,613
820845521,929
820845522,768
820845523,834
820845524,464
820845525,1560
820845526,830
820845527,885
820845528,722
820845529,806
820845530,637
820845601,34
820845602,1
820845603,33
820848001,601
820848002,454
820848003,563
820848004,456
820848005,612
820848006,668
820848007,604
820848008,361
820848009,630
820848010,684
820848011,407
820848012,736
820848013,520
820848014,507
820848015,534
820848016,401
820848017,634
820848018,289
820848019,806
820848020,443
820848021,315
820848022,332
820848023,606
820848024,637
820848025,460
820848026,587
820848027,800
820848028,539
820848029,475
820848030,558
820848031,525
820848032,540
820848033,266
820848034,589
820848035,835
820848036,518
820848037,345
820848038,380
820848039,362
820848040,775
820848041,504
820848042,410
820848043,386
820848044,465
820848045,563
820848101,773
820848102,538
820848103,702
820848104,711
820848105,616
820848106,423
820848107,798
820848108,708
820848109,833
820848110,968
820848111,611
820848112,744
820848113,543
820848114,620
820848115,360
820848116,470
820848117,1054
820848118,1002
820848119,925
820848120,735
820848121,685
820848122,441
820848123,637
820848201,522
820848202,616
820848203,641
820848204,731
820848205,828
820848206,945
820848207,1100
820848208,1074
820848209,746
820848210,709
820848211,588
820848212,886
820848213,860
820848214,567
820848215,768
820848216,793
820848217,1102
820848218,620
820848219,809
820848220,723
820848221,708
820848222,693
820848223,691
820848224,591
820848225,782
820848226,978
820848227,979
820848228,962
820848229,692
820848230,605
820848231,761
820848232,858
820848233,639
820848234,691
820848235,536
820848301,1028
820848302,477
820848303,753
820848304,536
820848305,801
820848306,760
820848307,765
820848308,580
820848309,570
820848310,517
820848311,921
820848312,588
820848313,877
820848314,500
820848315,818
820848316,477
820848317,466
820848318,420
820848319,513
820848401,609
820848402,754
820848403,678
820848404,531
820848405,748
820848406,869
820848407,696
820848408,765
820848409,1537
820848410,1092
820848411,577
820848412,831
820848413,963
820848414,913
820848415,598
820848416,786
820848417,730
820848418,814
820848419,438
820848420,991
820848421,1042
820848422,727
820848423,658
820848424,629
820848425,589
820848426,1078
820848427,826
820848428,864
820848429,941
820848430,680
820848501,595
820848502,1064
820848503,949
820848504,732
820848505,789
820848506,578
820848507,730
820848508,793
820848509,993
820848510,575
820848511,835
820848512,836
820848513,1153
820848514,640
820848515,922
820848516,864
820848517,447
820848518,1091
820848519,761
820848520,1167
820848521,772
820848522,620
820848523,403
820848601,790
820848602,670
820848603,913
820848604,773
820848605,677
820848606,704
820848607,572
820848608,1021
820848609,634
820848610,518
820848611,524
820848612,789
820848613,617
820848614,661
820848615,620
820848616,575
820848617,843
820848618,590
820848619,547
820848620,967
820848621,896
820848622,500
820848701,581
820848702,618
820848703,751
820848704,696
820848705,626
820848706,1557
820848707,868
820848708,753
820848709,1064
820848710,760
820848711,811
820848712,778
820848713,903
820848714,670
820848715,711
820848716,656
820848717,516
820848718,460
820848719,710
