CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820840610,87,111,75,79,35,10,1,1,0,0,0,0,0,0,0,0,0,0,0,399
820840611,94,130,73,66,25,10,2,1,0,0,0,0,0,0,0,0,0,0,0,401
820840612,41,54,36,34,10,6,0,1,1,0,0,0,0,0,0,0,0,0,0,183
820840613,37,54,30,33,13,4,4,0,1,1,0,0,0,0,0,0,0,0,0,177
820840614,51,62,46,41,17,5,0,2,0,1,0,0,0,0,0,0,0,0,0,225
820840615,88,62,59,50,34,7,2,1,0,1,0,0,0,0,0,0,0,0,0,304
820840616,37,43,43,49,57,6,3,3,2,1,0,0,0,0,0,0,0,0,0,244
820840617,56,107,80,64,29,11,3,1,0,0,0,1,0,0,0,0,0,0,0,352
820840618,88,70,70,54,28,11,6,5,1,1,0,0,0,0,0,0,0,0,0,334
820840619,42,78,51,55,33,7,3,1,1,0,0,0,0,0,0,0,0,0,0,271
820840620,74,95,57,46,29,8,2,0,0,0,0,0,0,0,0,0,0,0,0,311
820840621,71,78,49,36,14,5,1,1,0,0,0,0,0,0,0,0,0,0,0,255
820840622,82,87,63,48,36,1,2,3,0,0,0,0,0,0,0,0,0,0,0,322
820840623,51,68,82,85,57,9,6,4,1,0,0,0,0,0,0,0,0,0,0,363
820840624,58,61,44,36,20,6,3,1,0,0,0,0,0,0,0,0,0,0,0,229
820840625,49,38,27,42,24,6,4,2,3,1,0,0,0,0,0,0,0,0,0,196
820840626,30,26,23,31,33,9,2,0,0,0,0,0,0,0,0,0,0,0,0,154
820840627,49,56,41,23,19,9,0,0,1,0,1,0,0,0,0,0,0,0,0,199
820840628,54,67,45,34,21,6,3,0,1,0,0,0,0,0,0,0,0,0,0,231
820840629,62,84,53,43,32,8,3,5,0,0,0,0,0,0,0,0,0,0,0,290
820840630,43,54,55,50,65,12,3,1,2,0,0,0,0,0,0,0,0,0,0,285
820840701,64,55,63,53,40,5,3,2,1,1,0,0,0,0,0,0,0,0,0,287
820840702,68,63,71,56,47,10,3,2,1,1,0,0,1,0,0,0,0,0,0,323
820840703,51,58,52,46,23,11,1,1,1,0,0,0,0,0,0,0,0,0,0,244
820840704,52,63,62,52,36,10,3,1,2,0,1,0,0,0,0,0,0,0,0,282
820840705,44,50,46,30,19,8,1,0,0,0,0,0,0,0,0,0,0,0,0,198
820840706,39,53,69,47,28,9,2,1,3,0,0,0,0,0,0,0,0,0,0,251
820840707,82,71,79,71,54,14,4,2,1,1,0,1,0,0,0,0,0,0,0,380
820840708,73,73,52,45,36,10,6,0,3,0,0,1,0,0,0,0,0,0,0,299
820840709,78,40,48,35,17,7,4,0,0,0,0,0,0,0,0,0,0,0,0,229
820840710,85,56,36,41,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,231
820840711,86,70,62,41,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,273
820840712,99,103,66,56,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,341
820840713,43,57,37,34,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,191
820840714,86,76,61,46,14,5,0,1,0,0,0,0,0,0,0,0,0,0,0,289
